Dataset,Clusters,Budget,Iteration,Cost,Time,RawSize,ActualSize,Trimmed,Z,EpsReport,Beta,ReferenceCost,FinalKMeansTime,CostTime,WeightedSteps,RefLloydIterations
birb,2,64,0,43537.38192142648,0.7679617000103462,67,64,True,1.4571405694473205,1.2000000000000002,0.8432526443560877,99017.90909650136,0.0007627999875694,0.0825783000036608,20,0
birb,2,64,1,43520.55718527956,0.768741100007901,67,64,True,0.9762316293703346,1.0,0.9762316293703346,147795.87969242598,0.0007067999977152,0.0813316999992821,20,0
birb,2,64,2,43335.80780073892,0.7390137999900617,67,64,True,2.631384325281356,1.4,0.9589593022162372,54831.59987697039,0.0007087999838404,0.0860752000007778,20,0
birb,2,64,3,43990.332319990805,0.7591901999840047,67,64,True,2.323662960396858,1.4,0.8468159476664933,62092.91747789313,0.0005993999948259,0.0849583999952301,20,0
birb,2,64,4,43750.98206709695,0.7497452000097837,67,64,True,2.041791571227157,1.3,0.9293543792567852,70664.90746635907,0.0005822999810334,0.0817281000199727,20,0
birb,2,128,0,43331.6749720828,0.8532351999892853,129,128,True,0.2632063403682003,0.7000000000000001,0.7673654238139949,99017.90909650136,0.0005596000119112,0.0961516999814193,20,0
birb,2,128,1,43285.84464994727,0.8439333999995142,129,128,True,0.1763387554405337,0.6000000000000001,0.8163831270395077,147795.87969242598,0.0006644000241067,0.0839087999775074,20,0
birb,2,128,2,43321.51339017252,0.8595715000119526,129,128,True,0.4753124392262629,0.8,0.9283446078637946,54831.59987697039,0.0006654000026173,0.0838822000077925,20,0
birb,2,128,3,43325.58035607581,0.826555699983146,129,128,True,0.4197280872408697,0.8,0.8197814203923234,62092.91747789313,0.0008863999973982,0.0844089000020176,20,0
birb,2,128,4,43932.02491131394,0.8225917000090703,129,128,True,0.3688130702868105,0.8,0.7203380279039266,70664.90746635907,0.0005446000141091,0.0809207999845966,20,0
birb,2,256,0,43247.84640894141,0.9072183000098448,262,256,True,0.0643191036781268,0.5,0.5145528294250147,99017.90909650136,0.0006867999909445,0.0835003000102005,20,0
birb,2,256,1,43237.71292769458,0.9654266999859829,262,256,True,0.0430914797788884,0.4,0.6733043715451323,147795.87969242598,0.0013410999963525,0.081457499996759,20,0
birb,2,256,2,43276.95954694537,0.9696698999905492,262,256,True,0.1161509635950659,0.5,0.9292077087605272,54831.59987697039,0.0006978000164963,0.0843172000022605,20,0
birb,2,256,3,43307.83712156893,0.952540800004499,262,256,True,0.1025679484852143,0.5,0.8205435878817148,62092.91747789313,0.0010018000029958,0.0816860999912023,20,0
birb,2,256,4,43397.509954716974,0.9324072999879718,262,256,True,0.0901259676056482,0.5,0.7210077408451859,70664.90746635907,0.0007218999962788,0.0847933000186458,20,0
birb,2,512,0,43220.99546039894,1.0762053999933414,517,512,True,0.0188762837240444,0.3,0.6991216194090548,99017.90909650136,0.00089999998454,0.0864130000118166,20,0
birb,2,512,1,43294.05998575252,1.0586834999849088,517,512,True,0.0126464293169533,0.3,0.4683862709982717,147795.87969242598,0.0012214000162202,0.0831699999980628,20,0
